topic,rank,keyword,prob
0,0,example,0.12802874
0,1,compound,0.06794144
0,2,nmr,0.040464822
0,3,prepare,0.03284626
0,4,acid,0.03175373
0,5,procedure,0.029176708
0,6,mhz,0.0271843
0,7,title,0.02624841
0,8,describe,0.025142455
0,9,step,0.022475354
0,10,obtain,0.017713755
0,11,preparation,0.016223477
0,12,method,0.014682487
0,13,follow,0.014557542
0,14,yield,0.013734524
0,15,accord,0.013596821
0,16,mmol,0.013425288
0,17,synthesis,0.011634042
0,18,ppm,0.011207072
0,19,find,0.010692131
1,0,embodiment,0.07694026
1,1,invention,0.07313561
1,2,present,0.04348568
1,3,comprise,0.042701505
1,4,method,0.037790596
1,5,composition,0.037298445
1,6,compound,0.03254521
1,7,provide,0.029154297
1,8,salt,0.01750824
1,9,aspect,0.017309895
1,10,pharmaceutical,0.014339626
1,11,administer,0.013880569
1,12,acceptable,0.01355836
1,13,pharmaceutically,0.013145651
1,14,form,0.012876617
1,15,subject,0.011052285
1,16,formula,0.010726312
1,17,relate,0.010415632
1,18,accord,0.010093559
1,19,treat,0.009872815
2,0,plate,0.025406491
2,1,example,0.017511519
2,2,add,0.015648033
2,3,wash,0.0148497755
2,4,antibody,0.014836084
2,5,pbs,0.012727416
2,6,incubate,0.012314338
2,7,room,0.011026293
2,8,elisa,0.01033526
2,9,buffer,0.010175561
2,10,solution,0.0084863305
2,11,bsa,0.007883869
2,12,time,0.0077629583
2,13,temperature,0.007687653
2,14,hour,0.007623366
2,15,contain,0.0074763997
2,16,well,0.007361089
2,17,follow,0.0072185793
2,18,block,0.006979937
2,19,coat,0.006737923
3,0,isomer,0.03491798
3,1,label,0.017663592
3,2,bind,0.014014503
3,3,filter,0.012096904
3,4,membrane,0.011399789
3,5,buffer,0.010638656
3,6,wash,0.010494497
3,7,add,0.010194676
3,8,mixture,0.009838129
3,9,min,0.009506295
3,10,viii,0.009307458
3,11,cis,0.008769516
3,12,trans,0.008643827
3,13,solution,0.008480564
3,14,fviii,0.008436993
3,15,ice,0.008436443
3,16,pellet,0.008183658
3,17,binding,0.00815964
3,18,example,0.0077341706
3,19,radioactivity,0.0076578353
